Genes,CAOV3,JHOS2,PEO1,PEO4,OAW28,COV504,JHOS4,CAOV4,NIHOVCAR3,SNU8,PEA1,59M,ES2
STK38L,1.000000016,1.00000001,1.000000044,0.999999983,0.99999996,1.000000031,1.000000006,0.999999983,1,0.999999995,0.999999989,1.000000017,1.000002108
HOGA1,1.000000016,1.00000001,1.000000044,0.999999983,0.99999996,1.000000031,1.000000006,0.999999983,1,0.999999995,0.999999989,1.000000017,1.000002108
USP25,1.000000016,1.00000001,1.000000044,0.999999983,0.99999996,1.000000031,1.000000006,0.999999983,1,0.999999995,0.999999989,1.000000017,1.000002108
UBE2M,1.000000016,1.00000001,1.000000044,0.999999983,0.99999996,1.000000031,1.000000006,0.999999983,1,0.999999995,0.999999989,1.000000017,1.000002108
PLD6,1.000000016,1.00000001,1.000000044,0.999999983,0.99999996,1.000000031,1.000000006,0.999999983,1,0.999999995,0.999999989,1.000000017,1.000002108
PRPS1,1.000000016,1.00000001,1.000000044,0.999999983,0.99999996,1.000000031,1.000000006,0.999999983,1,0.999999995,0.999999989,1.000000017,1.000002108
USP16,1.000000016,1.00000001,1.000000044,0.999999983,0.99999996,1.000000031,1.000000006,0.999999983,1,0.999999995,0.999999989,1.000000017,1.000002108
GALK2,1.000000016,1.00000001,1.000000044,0.999999983,0.99999996,1.000000031,1.000000006,0.999999983,1,0.999999995,0.999999989,1.000000017,1.000002108
MARK1,1.000000016,1.00000001,1.000000044,0.999999983,0.99999996,1.000000031,1.000000006,0.999999983,1,0.999999995,0.999999989,1.000000017,1.000002108
PANK1,1.000000016,1.00000001,1.000000044,0.999999983,0.99999996,1.000000031,1.000000006,0.999999983,1,0.999999995,0.999999989,1.000000017,1.000002108
TXNRD2,1.000000016,1.00000001,1.000000044,0.999999983,0.99999996,1.000000031,1.000000006,0.999999983,1,0.999999995,0.999999989,1.000000017,1.000002108
TPO,1.000000016,1.00000001,1.000000044,0.999999983,0.99999996,1.000000031,1.000000006,0.999999983,1,0.999999995,0.999999989,1.000000017,1.000002108
TXN,1.000000016,1.00000001,1.000000044,0.999999983,0.99999996,1.000000031,1.000000006,0.999999983,1,0.999999995,0.999999989,1.000000017,1.000002108
UGT1A7,1.000000016,1.00000001,1.000000044,0.999999983,0.99999996,1.000000031,1.000000006,0.999999983,1,0.999999995,0.999999989,1.000000017,1.000002108
PLCL1,1.000000016,1.00000001,1.000000044,0.999999983,0.99999996,1.000000031,1.000000006,0.999999983,1,0.999999995,0.999999989,1.000000017,1.000002108
SETMAR,1.000000016,1.00000001,1.000000044,0.999999983,0.99999996,1.000000031,1.000000006,0.999999983,1,0.999999995,0.999999989,1.000000017,1.000002108
